County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
St. Francis|Arkansas,St. Francis,Arkansas,22740.0,41784.0,0
Saline|Arkansas,Saline,Arkansas,125724.0,76534.0,1
Scott|Arkansas,Scott,Arkansas,9839.0,45955.0,0
Searcy|Arkansas,Searcy,Arkansas,7861.0,41978.0,0
Sebastian|Arkansas,Sebastian,Arkansas,128448.0,56450.0,1
Sevier|Arkansas,Sevier,Arkansas,15797.0,51641.0,0
Sharp|Arkansas,Sharp,Arkansas,17597.0,42950.0,0
Stone|Arkansas,Stone,Arkansas,12474.0,38531.0,0
Union|Arkansas,Union,Arkansas,38368.0,50221.0,0
Van Buren|Arkansas,Van Buren,Arkansas,15936.0,47266.0,0
Washington|Arkansas,Washington,Arkansas,251863.0,66426.0,1
White|Arkansas,White,Arkansas,77395.0,53435.0,0
Woodruff|Arkansas,Woodruff,Arkansas,6157.0,49982.0,0
Yell|Arkansas,Yell,Arkansas,20195.0,58870.0,0
Alameda|California,Alameda,California,1651949.0,126240.0,13
Alpine|California,Alpine,California,1695.0,110781.0,0
Amador|California,Amador,California,41029.0,81526.0,0
Butte|California,Butte,California,209470.0,68574.0,1
Calaveras|California,Calaveras,California,45995.0,79877.0,0
Colusa|California,Colusa,California,21895.0,75149.0,0
Contra Costa|California,Contra Costa,California,1161458.0,125727.0,7
Del Norte|California,Del Norte,California,27293.0,66780.0,0
El Dorado|California,El Dorado,California,192299.0,106190.0,1
Fresno|California,Fresno,California,1012152.0,71434.0,7
Glenn|California,Glenn,California,28623.0,70487.0,0
Humboldt|California,Humboldt,California,135418.0,61135.0,1
Imperial|California,Imperial,California,179319.0,56393.0,1
Inyo|California,Inyo,California,18803.0,72432.0,0
Kern|California,Kern,California,910433.0,67660.0,4
Kings|California,Kings,California,152830.0,68750.0,1
Lake|California,Lake,California,68139.0,58738.0,0
Lassen|California,Lassen,California,31177.0,64395.0,0
Los Angeles|California,Los Angeles,California,9848406.0,87760.0,69
Madera|California,Madera,California,158790.0,75496.0,0
Marin|California,Marin,California,258765.0,142785.0,3
Mariposa|California,Mariposa,California,17060.0,65378.0,0
Mendocino|California,Mendocino,California,90709.0,64688.0,0
Merced|California,Merced,California,285597.0,65044.0,3
Modoc|California,Modoc,California,8646.0,56648.0,0
Mono|California,Mono,California,13169.0,86953.0,0
Monterey|California,Monterey,California,435834.0,94486.0,3
Napa|California,Napa,California,136070.0,108970.0,2
Nevada|California,Nevada,California,102452.0,84905.0,0
Orange|California,Orange,California,3164063.0,113702.0,32
Placer|California,Placer,California,412435.0,114678.0,5
Plumas|California,Plumas,California,19607.0,64946.0,0
Riverside|California,Riverside,California,2449909.0,89672.0,16
Sacramento|California,Sacramento,California,1584047.0,88724.0,10
San Benito|California,San Benito,California,66056.0,108289.0,1
San Bernardino|California,San Bernardino,California,2187816.0,82184.0,14
San Diego|California,San Diego,California,3282782.0,102285.0,23
San Francisco|California,San Francisco,California,836321.0,141446.0,5
San Joaquin|California,San Joaquin,California,787416.0,88531.0,6
San Luis Obispo|California,San Luis Obispo,California,281486.0,93398.0,2
San Mateo|California,San Mateo,California,745100.0,156000.0,6
Santa Barbara|California,Santa Barbara,California,443975.0,95977.0,1
Santa Clara|California,Santa Clara,California,1903297.0,159674.0,18
Santa Cruz|California,Santa Cruz,California,266021.0,109266.0,2
Shasta|California,Shasta,California,181554.0,71931.0,1
Sierra|California,Sierra,California,2731.0,60000.0,0
Siskiyou|California,Siskiyou,California,43834.0,55499.0,0
Solano|California,Solano,California,450824.0,99994.0,3
Sonoma|California,Sonoma,California,485642.0,102840.0,4
Stanislaus|California,Stanislaus,California,552250.0,79661.0,4
Sutter|California,Sutter,California,98971.0,75450.0,1
Tehama|California,Tehama,California,65520.0,61834.0,0
Trinity|California,Trinity,California,15886.0,53498.0,0
Tulare|California,Tulare,California,475774.0,69489.0,4
Tuolumne|California,Tuolumne,California,54873.0,72259.0,0
Ventura|California,Ventura,California,838259.0,107327.0,8
Yolo|California,Yolo,California,217782.0,88818.0,3
Yuba|California,Yuba,California,83079.0,73313.0,0
Adams|Colorado,Adams,Colorado,524408.0,91387.0,3
Alamosa|Colorado,Alamosa,Colorado,16515.0,51445.0,0
Arapahoe|Colorado,Arapahoe,Colorado,655709.0,97215.0,8
Archuleta|Colorado,Archuleta,Colorado,13730.0,76524.0,0
Baca|Colorado,Baca,Colorado,3460.0,40380.0,0
Bent|Colorado,Bent,Colorado,5524.0,49194.0,0
Boulder|Colorado,Boulder,Colorado,328317.0,102772.0,3
Broomfield|Colorado,Broomfield,Colorado,75110.0,121025.0,0
Chaffee|Colorado,Chaffee,Colorado,19876.0,70909.0,0
Cheyenne|Colorado,Cheyenne,Colorado,1732.0,67768.0,0
Clear Creek|Colorado,Clear Creek,Colorado,9358.0,96667.0,0
Conejos|Colorado,Conejos,Colorado,7536.0,47209.0,0
Costilla|Colorado,Costilla,Colorado,3571.0,36519.0,0
Crowley|Colorado,Crowley,Colorado,5734.0,47563.0,0
Custer|Colorado,Custer,Colorado,5073.0,72700.0,0
Delta|Colorado,Delta,Colorado,31353.0,58330.0,0
Denver|Colorado,Denver,Colorado,713734.0,91681.0,2
Dolores|Colorado,Dolores,Colorado,2385.0,70490.0,0
Douglas|Colorado,Douglas,Colorado,368283.0,145737.0,5
Eagle|Colorado,Eagle,Colorado,55374.0,103174.0,0
Elbert|Colorado,Elbert,Colorado,27152.0,129477.0,0
El Paso|Colorado,El Paso,Colorado,736008.0,87470.0,4
Fremont|Colorado,Fremont,Colorado,49394.0,61027.0,0
Garfield|Colorado,Garfield,Colorado,62034.0,86172.0,1
Gilpin|Colorado,Gilpin,Colorado,5877.0,88654.0,0
Grand|Colorado,Grand,Colorado,15794.0,84558.0,0
Gunnison|Colorado,Gunnison,Colorado,17158.0,77358.0,0
Hinsdale|Colorado,Hinsdale,Colorado,939.0,64327.0,0
