Address,City,County,State,Latitude,Longitude,Population_Total,Median_Income
715 Blue River Pkwy,Silverthorne,Summit,CO,39.637251,-106.07767,30857.0,12347.0
7899 Wadsworth Blvd,Arvada,Jefferson,CO,39.840209,-105.085028,579715.0,240031.0
10445 Reed St,Westminster,Jefferson,CO,39.886453,-105.078379,579715.0,240031.0
1001 E 120th Ave,Thornton,Adams,CO,39.916352,-104.9751,524408.0,184964.0
14451 Orchard Pkwy,Westminster,Adams,CO,39.958717,-104.995118,524408.0,184964.0
2171 Prairie Center Pkwy,Brighton,Adams,CO,39.956316,-104.7798,524408.0,184964.0
400 Marshall Rd,Superior,Boulder,CO,39.95652,-105.173611,328317.0,135230.0
2800 Pearl St,Boulder,Boulder,CO,40.021887,-105.256717,328317.0,135230.0
551 S Hover Rd,Longmont,Boulder,CO,40.15302,-105.133533,328317.0,135230.0
110 W Meadows Dr,Glenwood Springs,Garfield,CO,39.555855,-107.343783,62034.0,23071.0
4400 Centerplace Dr,Greeley,Weld,CO,40.393874,-104.750551,340711.0,120019.0
1725 Rocky Mountain Ave,Loveland,Larimer,CO,40.409288,-105.004497,363561.0,151571.0
2936 Council Tree Ave,Fort Collins,Larimer,CO,40.527099,-105.02242,363561.0,151571.0
105 W Troutman Pkwy,Fort Collins,Larimer,CO,40.527326,-105.078537,363561.0,151571.0
8201 I-40 W,Amarillo,Potter,TX,35.18566,-101.934696,116634.0,42363.0
1708 Dell Range Blvd,Cheyenne,Laramie,WY,41.161666,-104.799678,100661.0,42503.0
1401 Frontage Rd,Scottsbluff,Scotts Bluff,NE,41.870036,-103.643129,35937.0,15093.0
1415 Eglin St,Rapid City,Pennington,SD,44.098721,-103.188443,112081.0,45698.0
401 SE Wyoming Blvd,Casper,Natrona,WY,42.847131,-106.264667,79735.0,33285.0
6064 Marsha Sharp Freeway,Lubbock,Lubbock,TX,33.547794,-101.953281,314633.0,124045.0
7025 S Park Centre Dr,Salt Lake City,Salt Lake,UT,40.622565,-111.850185,1184689.0,416589.0
10130 S State St,Sandy,Salt Lake,UT,40.566984,-111.892971,1184689.0,416589.0
11525 Parkway Plaza Dr,South Jordan,Salt Lake,UT,40.541569,-111.982748,1184689.0,416589.0
6748 Redwood Rd,West Jordan,Salt Lake,UT,40.628321,-111.940483,1184689.0,416589.0
7779 Jordan Landing Blvd,West Jordan,Salt Lake,UT,40.610652,-111.984111,1184689.0,416589.0
1110 S 300 W,Salt Lake City,Salt Lake,UT,40.744916,-111.901664,1184689.0,416589.0
5518 W High Market Dr,West Valley City,Salt Lake,UT,40.7139,-112.0234,1184689.0,416589.0
200 N Market Place Dr,Centerville,Davis,UT,40.918247,-111.887204,366742.0,114674.0
815 W 2000 N,Layton,Davis,UT,41.08775,-111.981112,366742.0,114674.0
1135 W Riverdale Rd,Riverdale,Weber,UT,41.173612,-112.006235,266183.0,92353.0
20 W Main St,Ansonia,New Haven,CT,41.340446,-73.078943,,
25 Boston Post Rd,Orange,New Haven,CT,41.280278,-72.987515,,
1191 Boston Post Rd,Milford,New Haven,CT,41.235174,-73.038092,,
120 Hawley Ln,Trumbull,Fairfield,CT,41.23354,-73.151677,,
200 Universal Dr N,North Haven,New Haven,CT,41.350949,-72.871673,,
5065 Main St,Trumbull,Fairfield,CT,41.228735,-73.225326,,
300 Chase Ave,Waterbury,New Haven,CT,41.58254,-73.034321,,
7 Stony Hill Rd,Bethel,Fairfield,CT,41.415022,-73.401914,,
474 Chamberlain Hwy,Meriden,New Haven,CT,41.55254,-72.815454,,
600 Executive Blvd,Southington,Hartford,CT,41.611472,-72.901357,,
3265 Berlin Turnpike,Newington,Hartford,CT,41.660572,-72.725673,,
475 Hartford Rd,New Britain,Hartford,CT,41.710626,-72.763862,,
21 Broad St,Stamford,Fairfield,CT,41.0554,-73.54142,,
255 Pond Path Rd,South Setauket,Suffolk,NY,40.88487,-73.09976,1525680.0,512280.0
1922 E Main St,Torrington,Litchfield,CT,41.818857,-73.075477,,
195 N Bedford Rd Ste A,Mount Kisco,Westchester,NY,41.216197,-73.722746,996888.0,370256.0
1150 Old Country Rd,Riverhead,Suffolk,NY,40.933102,-72.679359,1525680.0,512280.0
2975 Horseblock Rd,Medford,Suffolk,NY,40.824959,-72.988953,1525680.0,512280.0
98 Veterans Memorial Hwy,Commack,Suffolk,NY,40.839133,-73.286362,1525680.0,512280.0
4 Henry St,Commack,Suffolk,NY,40.809485,-73.286807,1525680.0,512280.0
124 E Jericho Tpke,Huntington Station,Suffolk,NY,40.827801,-73.406064,1525680.0,512280.0
5750 Sunrise Hwy,Sayville,Suffolk,NY,40.76651,-73.067159,1525680.0,512280.0
160 N Research Pl,Central Islip,Suffolk,NY,40.772668,-73.202259,1525680.0,512280.0
9 City Pl,White Plains,Westchester,NY,41.032079,-73.766132,996888.0,370256.0
125 Buckland Hills Dr,Manchester,Hartford,CT,41.81014,-72.550028,,
1075 Kennedy Rd,Windsor,Hartford,CT,41.891207,-72.652128,,
838 Sunrise Hwy,Bay Shore,Suffolk,NY,40.726529,-73.277038,1525680.0,512280.0
100 Willow Park Ctr,Farmingdale,Suffolk,NY,40.750961,-73.419407,1525680.0,512280.0
2003 Broadway Mall,Hicksville,Nassau,NY,40.771682,-73.532945,1388138.0,456076.0
101 Shore Rd,Port Washington,Nassau,NY,40.841203,-73.704459,1388138.0,456076.0
2001 South Rd,Poughkeepsie,Dutchess,NY,41.626216,-73.919275,297144.0,115184.0
3850 Hempstead Tpke,Levittown,Nassau,NY,40.724929,-73.49426,1388138.0,456076.0
900 Hartford Tpke,Waterford,New London,CT,41.377211,-72.150307,,
1149 Sunrise Hwy,Copiague,Suffolk,NY,40.688227,-73.406133,1525680.0,512280.0
4120 Palisades Center Dr,West Nyack,Rockland,NY,41.097436,-73.958985,338936.0,103284.0
500 East Sandford Blvd,Mount Vernon,Westchester,NY,40.900966,-73.81784,996888.0,370256.0
999 Corporate Dr,Westbury,Nassau,NY,40.741547,-73.599909,1388138.0,456076.0
90 Elm St,Enfield,Hartford,CT,41.995833,-72.581525,,
50 Spring Valley Market Pl,Spring Valley,Rockland,NY,41.104454,-74.023291,338936.0,103284.0
50 Route 17K,Newburgh,Orange,NY,41.505295,-74.058212,403840.0,137311.0
29 Vervalen St,Closter,Bergen,NJ,40.9712,-73.9578,954717.0,353307.0
815 E Hutchinson River Pkwy,Bronx,Bronx,NY,40.824145,-73.837659,1419250.0,530067.0
248 Sunrise Hwy,Freeport,Nassau,NY,40.6558,-73.5716,1388138.0,456076.0
40 W 225th St,Bronx,Bronx,NY,40.87353,-73.907803,1419250.0,530067.0
1730 Hempstead TPK,Elmont,Nassau,NY,40.7087,-73.7038,1388138.0,456076.0
13505 20th Ave,College Point,Queens,NY,40.783388,-73.833095,2330124.0,828230.0
128 Bailey Farm Rd,Monroe,Orange,NY,41.317851,-74.1533,403840.0,137311.0
4024 College Point Blvd,Flushing,Queens,NY,40.757285,-73.83417,2330124.0,828230.0
700 Exterior St,Bronx,Bronx,NY,40.82341,-73.930513,1419250.0,530067.0
500 W Sunrise Hwy,Valley Stream,Nassau,NY,40.664248,-73.720129,1388138.0,456076.0
195 River Rd,Lisbon,New London,CT,41.585192,-71.99693,,
517 E 117th Street,New York,New York,NY,40.795561,-73.931192,1627788.0,775376.0
630 Main St,Hackensack,Bergen,NJ,40.898491,-74.038818,954717.0,353307.0
7000 AUSTIN ST,FOREST HILLS,Queens,NY,40.720897,-73.847121,2330124.0,828230.0
8801 Queens Blvd,Elmhurst,Queens,NY,40.735331,-73.874913,2330124.0,828230.0
900 Bergen Town Ctr,Paramus,Bergen,NJ,40.915876,-74.061134,954717.0,353307.0
543 River Rd,Edgewater,Bergen,NJ,40.813663,-73.982223,954717.0,353307.0
50 Holyoke St,Holyoke,Hampden,MA,42.168221,-72.642232,462853.0,184217.0
7101 Tonnelle Ave,North Bergen,Hudson,NJ,40.801744,-74.021424,710478.0,295552.0
112 W 34th St,New York,New York,NY,40.750245,-73.989309,1627788.0,775376.0
519 Gateway Dr,Brooklyn,Kings,NY,40.652462,-73.870271,2646306.0,1009596.0
1300 Ulster Ave,Kingston,Ulster,NY,41.968248,-73.985555,182109.0,73105.0
255 Greenwich St,New York,nan,NY,40.7147,-74.0112,,
445 Albee Square West,BROOKLYN,Kings,NY,40.6906,-73.983,2646306.0,1009596.0
139 Flatbush Ave,Brooklyn,Kings,NY,40.684489,-73.97748,2646306.0,1009596.0
100 14th St,Jersey City,Hudson,NJ,40.732336,-74.03572,710478.0,295552.0
30 Kingsland Rd,Clifton,Passaic,NJ,40.824427,-74.135839,518289.0,177964.0
1598 Flatbush Ave,Brooklyn,Kings,NY,40.631538,-73.946639,2646306.0,1009596.0
1 N Galleria Dr,Middletown,Orange,NY,41.452284,-74.369057,403840.0,137311.0
6401 18th Ave,Brooklyn,Kings,NY,40.61957,-73.989712,2646306.0,1009596.0
94 State Rt 23,Riverdale,Morris,NJ,40.989761,-74.325836,510375.0,191840.0
632 Route 46 E,Fairfield,Essex,NJ,40.889623,-74.271414,854130.0,317473.0
2177 Killingly Cmns,Dayville,Windham,CT,41.839019,-71.883778,,
367 Russell St,Hadley,Hampshire,MA,42.357311,-72.547241,156595.0,61770.0
1157 Route 46,Parsippany,Morris,NJ,40.86174,-74.388087,510375.0,191840.0
2235 Springfield Ave,Vauxhall,Union,NJ,40.715486,-74.284732,572549.0,201663.0
130 State Route 10,East Hanover,Morris,NJ,40.813154,-74.380545,510375.0,191840.0
2873 Richmond Ave,Staten Island,Richmond,NY,40.574684,-74.16763,492734.0,170047.0
2690 US Hwy 22 E,Union,Union,NJ,40.687048,-74.308861,572549.0,201663.0
621 W Edgar Rd,Linden,Union,NJ,40.619214,-74.244329,572549.0,201663.0
655 Cheshire Rd,Lanesborough,Berkshire,MA,42.495264,-73.206116,128047.0,56517.0
45 Central Ave,Clark,Union,NJ,40.627381,-74.307959,572549.0,201663.0
2900 Veterans Rd W,Staten Island,Richmond,NY,40.528857,-74.231899,492734.0,170047.0
381 Mount Hope Ave,Rockaway,Morris,NJ,40.906008,-74.55937,510375.0,191840.0
2105 Route 35,Middletown,Monmouth,NJ,40.411546,-74.135431,643615.0,250195.0
1515 US Highway 22,Watchung,Somerset,NJ,40.641532,-74.421845,346203.0,129459.0
100 Parsonage Rd,Edison,Middlesex,NJ,40.551456,-74.332697,861535.0,305610.0
1245 Bald Hill Rd,Warwick,Kent,RI,41.706577,-71.494179,170658.0,72743.0
400 Bald Hill Rd,Warwick,Kent,RI,41.722392,-71.47641,170658.0,72743.0
371 Putnam Pike Ste A-250,Smithfield,Providence,RI,41.877046,-71.518292,658977.0,256505.0
70 Worcester Providence Tpke #100,Millbury,Worcester,MA,42.194395,-71.774687,861664.0,333273.0
5000 Hadley Center Dr,South Plainfield,Middlesex,NJ,40.548825,-74.426464,861535.0,305610.0
2331 Route 66,Ocean,Monmouth,NJ,40.230928,-74.044485,643615.0,250195.0
620 George Washington Hwy,Lincoln,Providence,RI,41.937475,-71.478671,658977.0,256505.0
529 Lincoln St,Worcester,Worcester,MA,42.292474,-71.775138,861664.0,333273.0
200 Promenade Blvd,Bridgewater,Somerset,NJ,40.562362,-74.553134,346203.0,129459.0
400 Ryders Ln,Milltown,Middlesex,NJ,40.441323,-74.42582,861535.0,305610.0
625 3rd Ave Ext,Rensselaer,Rensselaer,NY,42.644824,-73.700465,160341.0,66233.0
79 Commerce Way,Seekonk,Bristol,MA,41.796058,-71.321145,578436.0,232202.0
68 US Highway 46 W,Hackettstown,Morris,NJ,40.8465,-74.8083,510375.0,191840.0
55 US Hwy 9,Manalapan,Monmouth,NJ,40.291358,-74.301701,643615.0,250195.0
101 Grand Ave,North Brunswick,Middlesex,NJ,40.435819,-74.504829,861535.0,305610.0
330 Turnpike Rd,Westborough,Worcester,MA,42.280435,-71.655929,861664.0,333273.0
1205 S Washington St,North Attleboro,Bristol,MA,41.940344,-71.351931,578436.0,232202.0
250 Fortune Blvd,Milford,Worcester,MA,42.160827,-71.498868,861664.0,333273.0
579 GAR Hwy,Swansea,Bristol,MA,41.749066,-71.207427,578436.0,232202.0
1440 Central Ave,Colonie,Albany,NY,42.705805,-73.823925,315374.0,132728.0
4196 US Highway 1,Monmouth Junction,Middlesex,NJ,40.381514,-74.575909,861535.0,305610.0
91 Taunton St,Plainville,Norfolk,MA,42.033714,-71.310581,724540.0,281408.0
4955 US Highway 9,Howell,Monmouth,NJ,40.131875,-74.220036,643615.0,250195.0
423 Donald Lynch Blvd,Marlborough,Middlesex,MA,42.359487,-71.607159,1622896.0,630939.0
675 Troy Schenectady Rd,Latham,Albany,NY,42.756495,-73.771077,315374.0,132728.0
570 Route 70,Brick,Ocean,NJ,40.058814,-74.150328,646434.0,241521.0
70 Princeton Hightstown Rd,East Windsor,Mercer,NJ,40.276872,-74.540946,383286.0,141464.0
605 Boston Post Rd E,Marlborough,Middlesex,MA,42.348748,-71.504967,1622896.0,630939.0
428 Balltown Rd,Schenectady,Schenectady,NY,42.775713,-73.890072,159603.0,66324.0
86 Orchard Hill Park Dr,Leominster,Worcester,MA,42.527193,-71.71374,861664.0,333273.0
400 Cochituate Rd,Framingham,Middlesex,MA,42.305328,-71.398387,1622896.0,630939.0
479 State Rd,North Dartmouth,Bristol,MA,41.63729,-71.003268,578436.0,232202.0
1331 Hooper Ave,Toms River,Ocean,NJ,39.987737,-74.175227,646434.0,241521.0
81 Taunton Depot Dr,Taunton,Bristol,MA,41.877743,-71.068577,578436.0,232202.0
500 Nassau Park Blvd,Princeton,Mercer,NJ,40.306136,-74.677047,383286.0,141464.0
41 Robert Dr,South Easton,Bristol,MA,42.027137,-71.14378,578436.0,232202.0
26 Crossing Blvd,Clifton Park,Saratoga,NY,42.857601,-73.772416,237075.0,99835.0
